,NAME,REF NO,BID OPENING DATE,BID CLOSING DATE,LINK
0,"1. Supply of Laboratory appliances Inputs and Silkworm Grainage Appliances",APT/SERI-OP/05/23/Pt-1/4/5023,05-Jan-2024 03:00 PM,05-Jan-2024 03:15 PM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=SfGIO%2FRT%2FZCfWxiUuyKAEOw%3D%3D
1,2. Patients Guest House at GMCH for Tea Tribes and Adivasi People,ASHB/Tech/1319/2022/Pt-I/ 1/5806,08-Jan-2024 06:00 PM,12-Jan-2024 01:00 PM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=SIbCALqkX7LChDR8rnU3mjQ%3D%3D
2,3. Geo Technical Investigation of 24 MW Karbi Langpi Middle II,APGCL CGM NRE 2023 24 KLM II HPP 26 03   ,29-Dec-2023 01:00 PM,29-Dec-2023 02:00 PM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=S%2FYl3kmcVtMXi0WLUfuKdfg%3D%3D
3,4. SUPPLY AND INSTALLATION OF MACHINERY AND EQUIPMENT FOR MILK PROCESSING PLANT,ECF No. 415221/16,08-Jan-2024 05:00 PM,09-Jan-2024 12:00 PM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=Sv38Y26Q399KNUV3S%2BVNshQ%3D%3D
4,5. Construction of road at Tamulpur MB under SOPD,UDD_937_Tamulpur,27-Dec-2023 02:00 PM,27-Dec-2023 03:00 PM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=SE%2FiIjW6Tdp0J5U60mhscKA%3D%3D
5,6. MATERIAL AND SUPPLY FOR MILK PROCESSING PLANT,ECF No. 421766/1,08-Jan-2024 05:00 PM,09-Jan-2024 12:00 PM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=SfyAu%2F8mfY5NywFhlZLYeGw%3D%3D
6,7. Selection of firm to build Integrated Administrative Monitoring Solution for Livestock Information Management in Animal Husbandry and Veterinary Department Government of Assam,E-420658/33,30-Dec-2023 01:00 PM,30-Dec-2023 04:00 PM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=SR0nNUJUjpd%2F%2ByqQJawzzzQ%3D%3D
7,8. Repair Renovation works of Boundary wall of ITI Nalbari Phase-II,EE(N)/ITI-I/22/2023-24/Pt/34,08-Jan-2024 02:00 PM,08-Jan-2024 03:00 PM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=SAN1W9TXNnonGPrtqah9RBQ%3D%3D
8,9. Construction of 1000 MT capacity Godown at Darigaji (Darigaji Seed Farm) under ASCL.,ASC/ENGG/745/2023/56,05-Jan-2024 05:00 PM,06-Jan-2024 11:00 AM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=Sj8gyM9rnkD21nOQ7QPVuKA%3D%3D
9,10. Repair renovation works of Boundary wall of ITI Nalbari Phase-I,EE(N)/ITI-I/22/2023-24/Pt/35,06-Jan-2024 11:00 AM,08-Jan-2024 02:00 PM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=S7EsaubaB%2BwfP14bkuVsMag%3D%3D
