,NAME,REF NO,BID OPENING DATE,BID CLOSING DATE,LINK
0,1. Improvement to the CAD network of DO-13L off taking at chainage 8.500kms at village Chandel in Pernem Taluka.,WRD/WDVII/PB/F.3-1/23-24/TN-18,02-Jan-2024 10:00 AM,03-Jan-2024 11:30 AM,https://eprocure.goa.gov.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=SYCQPsznroubYKZtYEyPXVA%3D%3D
1,2. Construction of Traditional Maand with open shed in Survey 79/1and 80/1at Badsrem in V.P.Gaondongrem Canacona (MLA LAD Scheme),PWD/DIV XIX (B)/ASW/F.4/2023-24/28 LINE 03,27-Dec-2023 01:00 PM,29-Dec-2023 10:00 AM,https://eprocure.goa.gov.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=SXkDWXthBdB1WsT28fkVz6A%3D%3D
2,3. Providing false ceiling for battery room in court building Civil Judge Junior Division at Sheller in Canacona Constituency.(Retender),PWD/DIV XIX (B)/ASW/F.4/2023-24/28 LINE 08,27-Dec-2023 01:00 PM,29-Dec-2023 10:00 AM,https://eprocure.goa.gov.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=S1C8FFo%2FkwT4luBGnTKWKLA%3D%3D
3,4. Providing and fixing aluminium door shutters for the open court halls at Quepem Court in Quepem Constituency (Retender 4th call),PWD/DIV XIX (B)/ASW/F.4/2023-24/28 LINE 06,27-Dec-2023 01:00 PM,29-Dec-2023 10:00 AM,https://eprocure.goa.gov.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=SOBoHxgrmk%2BLLgQ5oV8UJcA%3D%3D
4,5. Providing and fixing aluminium cabin for the establishment of e-seva Kendra at Civil and Criminal Court Sanguem,PWD/DIV XIX (B)/ASW/F.4/2023-24/28 LINE 07,27-Dec-2023 01:00 PM,29-Dec-2023 10:00 AM,https://eprocure.goa.gov.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=SD1F43%2BNuclyR9PRL3qWdXA%3D%3D
5,6. Urgent repairs works to the Old Govt. Building at Quepem in Quepem Constituency.(Polling booth no. 3)(Retender),PWD/DIV XIX (B)/ASW/F.4/2023-24/28 LINE 04,27-Dec-2023 01:00 PM,29-Dec-2023 10:00 AM,https://eprocure.goa.gov.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=Sc6pIp9BtNmUuGJgoNPMa%2Bw%3D%3D
6,"7. Proposed construction of Administrative Block (office) Gymkhana cum fitness Center, Equipped Library in Survey no. 221/2 located at Vastawda Curchorem-Goa (MLA LAD Scheme)(Civil Electrical work)",PWD/DIV XIX (B)/ASW/F.4/2023-24/28 LINE 02,27-Dec-2023 01:00 PM,29-Dec-2023 10:00 AM,https://eprocure.goa.gov.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=SQVEN2PPC7G08ozBumVk%2BdA%3D%3D
7,8. Development of playground belonging to Shree Shidnatha Devasthan in Survey no. 2/1 at Kazur in Sanguem Constituency.(MLA LAD Scheme),PWD/DIV XIX (B)/ASW/F.4/2023-24/28 LINE 01,27-Dec-2023 01:00 PM,29-Dec-2023 10:00 AM,https://eprocure.goa.gov.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=SR3u54ja7uFEb%2FQz9Dwqh6g%3D%3D
8,9. Providing and fixing aluminium cabin for the establishment of e-seva Kendra at Civil and Criminal Court Canacona,PWD/DIV XIX (B)/ASW/F.4/2023-24/28 LINE 05,27-Dec-2023 01:00 PM,29-Dec-2023 10:00 AM,https://eprocure.goa.gov.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=SqYDvxTwBulGCZmNVt02Eew%3D%3D
9,"10. Rejuvenation of pond in Sy. No. 39-2 and improvement of nallah waterway in between Sy.No.43, Sy.No.44, Sy.No.52, Sy.No.51 and Sy.No.42, Sy.No53, Sy.No.54 at Village Cansaulim in V.P. Cansaulim in V.P. Cansaulim Arossim Cuelim in Cortalim Constituency",WDII/TECH/F17/33e/2023-24/SN1,29-Dec-2023 10:00 AM,03-Jan-2024 04:00 PM,https://eprocure.goa.gov.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=SZSPzajFAQvvSmM99URFD4Q%3D%3D
