,NAME,REF NO,BID OPENING DATE,BID CLOSING DATE,LINK
0,1. Carrying out of various Logging and allied works as per Schedule of Rates in Panchkula district and neighbouring states of Haryana,GM/HFDC/AMB/2023-24/11,26-Dec-2023 05:00 PM,27-Dec-2023 10:00 AM,https://etenders.hry.nic.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=ShX9juKm%2BOafg%2BGUD4bR%2Frg%3D%3D
1,"2. Providing, Laying and commissioning of Water Supply System, Sewerage Sewerage and restoration of the dismantled streets in the left out area under AMRUT-I of MC Panipat.",2023D1FBAE75 762A 42C5 B308 F91A0FB1CF13286ULB,23-Jan-2024 05:00 PM,24-Jan-2024 12:00 PM,https://etenders.hry.nic.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=SarUR3E0uTVY25krVgQbcFQ%3D%3D
2,"3. Construction of Shed,toilet and main gate in Rani Jhansi wali Chaupal at Village Murthal Block Murthal HGVY",20230FF0D690 AF78 4390 B9E4 021ABB438AD82122DEV,27-Dec-2023 09:00 AM,28-Dec-2023 09:00 AM,https://etenders.hry.nic.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=SaXNYQjt1hH3igbszRapK6g%3D%3D
3,4. Construction of IPB Street with side drain (Diwan Wali ) at Village Khewra Block Murthal SFC/PS,20230A3BA586 8439 4B73 85F4 6410BD7ADDAE2122DEV,27-Dec-2023 09:00 AM,28-Dec-2023 09:00 AM,https://etenders.hry.nic.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=SofoYVlio1deTLngLFbfp7A%3D%3D
4,5. Freight charges for the transportation of loose bagasse  ,Freight charges for the transportation of bagasse,27-Dec-2023 09:30 AM,27-Dec-2023 11:00 AM,https://etenders.hry.nic.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=SsyKCb5qO474XGYp0wWxA1A%3D%3D
5,6. LAYING OF SEWER PIPE( HASANPUR BILONDA) Gram Panchayat (SFC),2023599BFBAB 28EA 4B86 A7EE 7484350711202021DEV,26-Dec-2023 05:00 PM,27-Dec-2023 02:00 PM,https://etenders.hry.nic.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=ST6acKNGjaLIUtjrX7zQ%2FKw%3D%3D
6,7. Renovation of SC Chopal at village Chandeni,20230F1D736B AACC 4B2C 8734 F6D39918666F2031DEV,28-Dec-2023 11:00 AM,28-Dec-2023 02:00 PM,https://etenders.hry.nic.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=SYDaU79BLKShBWyNSXg9PzQ%3D%3D
7,8. Crop Yield Estimation Localized Crop Loss Assessment using Satellite Drone basedTechnologies,PMU/IT 20-12-2023,07-Feb-2024 05:00 PM,09-Feb-2024 11:00 AM,https://etenders.hry.nic.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=SJ6B2gb2zR%2FsJxNXjcx1e1w%3D%3D
8,9. RD 56800/R Motipura Disty (...,2023707B4D04 2384 4BD6 BE2D 55C4E3E12D5A371CAD,04-Jan-2024 01:00 PM,04-Jan-2024 03:00 PM,https://etenders.hry.nic.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=SQi66b%2Biabz3D3fJsv9C5qA%3D%3D
9,10. SLS-2024,SLS-2024,04-Jan-2024 03:00 PM,03-Jan-2024 02:00 PM,https://etenders.hry.nic.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=SU8XCvqzXmpB85xE4iQ0HDA%3D%3D
