Sr.No.,ORGANIZATION NAME,LINK
1,CE-HOD,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SVgTzR1yl%2BXqa4xOIVccX5g%3D%3D
2,CEO (Uttarakhand Civil Aviation Development Authority),https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=StP9t%2FACQaMpqB1eNnnu4eNS0Fec7wUuNy1YFXyqSerE%3D
3,CEO (Uttarakhand Rural Roads Development Agency),https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=Snni57Ja6%2FTHhSh%2FBNZkJ9g%3D%3D
4,CEO (Uttarakhand State Centre for Public Policy and Good Governance),https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=Sw9%2B%2BSRxGDheFff4l6SNSfdS0Fec7wUuNy1YFXyqSerE%3D
5,CEO (Uttarakhand Tourism Development Board),https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SrpA2GXqCvlOH1dstDS3Idw%3D%3D
6,CGM (Drinking Water) Jal Sansthan,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=S9nWAOBAD2MB2mhgCDg9jAQ%3D%3D
7,Chairman Uttarakhand Building and Other Construction Workers Welfare Board,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SyFX8JgCdwas1lZ5dfNAAK9S0Fec7wUuNy1YFXyqSerE%3D
8,CMS Govt. Female Hospital Haldwani,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SZLkFwXvSpyddu2rv7tgHctS0Fec7wUuNy1YFXyqSerE%3D
9,CMS Govt. V.M.J. Female Hospital Almora,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SA31IbD6D6VIGuynDOUCKWdS0Fec7wUuNy1YFXyqSerE%3D
10,DG - AYUSH,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=Sl20tHcROYLu%2BkL1B2ZoORA%3D%3D
11,DG - Information and Public Relation Department Dehradun,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SSLJHoAzsxYwnuICX2GNwktS0Fec7wUuNy1YFXyqSerE%3D
12,Director (Animal Husbandry),https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=Sah2zYAQ5M9H4B0r42Ywf6w%3D%3D
13,Director (Economics and Statistics),https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SNZzPMNqBpDDIrVxiddqom9S0Fec7wUuNy1YFXyqSerE%3D
14,Director General (School Education),https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SBHgI013YJrPRYhqXDt5TRg%3D%3D
15,Director Industries (MSME),https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SnGKBGZPC0YWw0b2oBPGIdg%3D%3D
16,Director (ITDA),https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SuQDt5FaBlMcwo9nIX%2BLXWA%3D%3D
17,Director (Panchayati Raj),https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=S4s7HwpeLeRl65QW%2BfBSi8g%3D%3D
18,Director Sports,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SgHZhXDEy2MQUIUFNl4oIaNS0Fec7wUuNy1YFXyqSerE%3D
19,Director (Urban Development Directorate),https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SRkHOuP0ltyHMvNK1rtlHPtS0Fec7wUuNy1YFXyqSerE%3D
20,Director (UREDA),https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=S7P6k2QWUihQNKXNS3x0y3g%3D%3D
21,District Disaster Management Authority Uttarkashi,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=StJUd9XiSyieptO7CEExwYNS0Fec7wUuNy1YFXyqSerE%3D
22,District Magistrate Tehri Garhwal,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=S80iYkFLS8Giher%2FM1D408tS0Fec7wUuNy1YFXyqSerE%3D
23,Executive Director (Kichha Sugar Co. Ltd. U.S. Nagar),https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=S2BlhwkmmkWBmXPve5DIMzNS0Fec7wUuNy1YFXyqSerE%3D
24,Executive Officer Nagar Palika Parishad Jaspur (U.S. Nagar),https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SYBhWDxckMXAtx6GCJRgFsdS0Fec7wUuNy1YFXyqSerE%3D
25,Executive Officer Nagar Palika Parishad Kichha,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SzfgzsWhxP%2Ba8K6Q3%2BWNwMtS0Fec7wUuNy1YFXyqSerE%3D
