Sr.No.,ORGANIZATION NAME,LINK
1,ANIMAL RESOURCES DEVELOPMENT DEPARTMENT,https://wbtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SuQDt5FaBlMcwo9nIX%2BLXWA%3D%3D
2,ASANSOL DURGAPUR DEVELOPMENT AUTHORITY,https://wbtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SwwNwnkHC63IAe8zJ%2BO%2BKNtS0Fec7wUuNy1YFXyqSerE%3D
3,BIDHAN CHANDRA KRISHI VISWAVIDYALAYA,https://wbtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SoxhfC2hi0ii%2FdjJpe1icvNS0Fec7wUuNy1YFXyqSerE%3D
4,BIDHANNAGAR POLICE COMMISSIONERATE,https://wbtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=S6qhlDdccTja%2Bl1niyOS0atS0Fec7wUuNy1YFXyqSerE%3D
5,BURDWAN UNIVERSITY,https://wbtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SJQ2KYGoH5PYys2amFj77pdS0Fec7wUuNy1YFXyqSerE%3D
6,CALCUTTA NATIONAL MEDICAL COLLEGE,https://wbtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SMsp2Aw2iSf23Xok389TBqg%3D%3D
7,CHILD DEVELOPMENT DEPARTMENT AND WD AND SW DEPT,https://wbtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SR4p3TYrFMbIBoHsxJBkRZQ%3D%3D
8,CO-OPERATION DIRECTORATE (HEAD QUARTER),https://wbtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=STH6N0GB3jdhoB3Shhn1%2F0NS0Fec7wUuNy1YFXyqSerE%3D
9,COUNTER INSURGENCY FORCE,https://wbtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SnPFmQ65MU3r48VZRW8be59S0Fec7wUuNy1YFXyqSerE%3D
10,CRIMINAL INVESTIGATION DEPARTMENT,https://wbtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SmKw5Fd3JSMfQ64esRbEaItS0Fec7wUuNy1YFXyqSerE%3D
11,DEPARTMENT OF AGRICULTURE,https://wbtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SRkHOuP0ltyHMvNK1rtlHPtS0Fec7wUuNy1YFXyqSerE%3D
12,DEPARTMENT OF FOOD AND SUPPLIES,https://wbtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=S4%2FfOHX6O1ZVjdXmupL7Q2NS0Fec7wUuNy1YFXyqSerE%3D
13,DEPARTMENT OF HIGHER EDUCATION,https://wbtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SKV0O1UZ%2BZNpAB7J4dDCVLtS0Fec7wUuNy1YFXyqSerE%3D
14,DEPARTMENT OF PASCHIMANCHAL UNNAYAN AFFAIRS,https://wbtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=S6k75z33oc0pcHRfLnq58J9S0Fec7wUuNy1YFXyqSerE%3D
15,DEPARTMENT OF POWER,https://wbtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=STyqy7enfMUbT2WS1zpRL%2F9S0Fec7wUuNy1YFXyqSerE%3D
16,DEPARTMENT OF SCHOOL EDUCATION,https://wbtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SxSO%2FuY6qSxCTQ1VYKSioQtS0Fec7wUuNy1YFXyqSerE%3D
17,DIGHA SANKARPUR DEVELOPMENT AUTHORITY,https://wbtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SZLkFwXvSpyddu2rv7tgHctS0Fec7wUuNy1YFXyqSerE%3D
18,DIRECTORATE OF AGRICULTURE,https://wbtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SGwtQJVOzd7vZEiW7IkP50dS0Fec7wUuNy1YFXyqSerE%3D
19,DIRECTORATE OF DISASTER MANAGEMENT,https://wbtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SKvNtmv%2BZzJNPuXZ%2FkCwyjA%3D%3D
20,DIRECTORATE OF FISHERIES,https://wbtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SPj1fp4UyfZSNWcUiqPusHw%3D%3D
21,DIRECTORATE OF FOOD PROCESSING INDUSTRIES,https://wbtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=Spk8%2BCO67qjia35GF31hpsdS0Fec7wUuNy1YFXyqSerE%3D
22,DIRECTORATE OF FORESTS,https://wbtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SY72APCBUf3OzE3RemNdu5w%3D%3D
23,DIRECTORATE OF LIBRARY SERVICES,https://wbtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=Sa0boP9Gug2fQtIRG3GUG9tS0Fec7wUuNy1YFXyqSerE%3D
24,DIRECTORATE OF MICRO SMALL AND MEDIUM ENTERPRISES,https://wbtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SLY5AyUHiLyMt1Kk5JJ7FrNS0Fec7wUuNy1YFXyqSerE%3D
25,DIRECTORATE OF TEXTILES (SERICULTURE),https://wbtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SS3m6CVyUri4FwP0A00FTOg%3D%3D
26,DISTRICT HEALTH AND FAMILY WELFARE SAMITY - PASCHIM MEDINIPUR,https://wbtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SNuPBswJUuK2rlIFIGuyQU9S0Fec7wUuNy1YFXyqSerE%3D
27,DISTRICT MAGISTRATE BANKURA,https://wbtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=Sz8uUoy3ddPsRR2nH%2BAlLv9S0Fec7wUuNy1YFXyqSerE%3D
28,DISTRICT MAGISTRATE BURDWAN,https://wbtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SvMYfZMoWPyCHYG0HjoSG49S0Fec7wUuNy1YFXyqSerE%3D
29,DISTRICT MAGISTRATE COOCH BEHAR,https://wbtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=S15523QCITKER7cc5ADqfZtS0Fec7wUuNy1YFXyqSerE%3D
30,DISTRICT MAGISTRATE DAKSHIN DINAJPUR,https://wbtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SID%2Bh01WtoOLmxDw4vux3stS0Fec7wUuNy1YFXyqSerE%3D
31,DISTRICT MAGISTRATE DARJEELING,https://wbtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=StJ%2BYmH9R6A8jkmRF6vcoWtS0Fec7wUuNy1YFXyqSerE%3D
32,DISTRICT MAGISTRATE HOOGHLY,https://wbtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SRSPwPQGKZUH7jxXJrzRPw9S0Fec7wUuNy1YFXyqSerE%3D
33,DISTRICT MAGISTRATE JHARGRAM,https://wbtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SYwNkG%2FGGa4jMZkV4yhej39S0Fec7wUuNy1YFXyqSerE%3D
34,DISTRICT MAGISTRATE KALIMPONG,https://wbtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SA31IbD6D6VIGuynDOUCKWdS0Fec7wUuNy1YFXyqSerE%3D
35,DISTRICT MAGISTRATE MALDA,https://wbtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SCywdk1FJJR%2Bf8aupTpAPc9S0Fec7wUuNy1YFXyqSerE%3D
36,DISTRICT MAGISTRATE MURSHIDABAD,https://wbtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=Sj8QC1t1KN3JgjAeh4Q0fp9S0Fec7wUuNy1YFXyqSerE%3D
37,DISTRICT MAGISTRATE NADIA,https://wbtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=Sp5v2es2khlTCBSVSd5tRntS0Fec7wUuNy1YFXyqSerE%3D
38,DISTRICT MAGISTRATE PASCHIM BARDHAMAN,https://wbtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SoLYqu6kUjOq6VcFJ5cjwptS0Fec7wUuNy1YFXyqSerE%3D
39,DISTRICT MAGISTRATE PASCHIM MEDINIPUR,https://wbtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=S7cn2So%2FKRHPoKpgfzsFxOtS0Fec7wUuNy1YFXyqSerE%3D
40,DISTRICT MAGISTRATE PURULIA,https://wbtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SkfPM9KTvNAnQ8lWpWZdCRtS0Fec7wUuNy1YFXyqSerE%3D
41,DISTRICT MAGISTRATE SOUTH 24 PARGANAS,https://wbtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SyBxVP%2BlbtzlCMvlOwBGax9S0Fec7wUuNy1YFXyqSerE%3D
42,DISTRICT MAGISTRATE UTTAR DINAJPUR,https://wbtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SnQ0Ab2Z%2BS6H6MNSL8wcyW9S0Fec7wUuNy1YFXyqSerE%3D
43,DR. B.C. ROY PGIPS,https://wbtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SPT7JL0%2BUP9XhsFLZ371BfNS0Fec7wUuNy1YFXyqSerE%3D
44,GOLDEN CITY INDUSTRIAL TOWNSHIP AUTHORITY,https://wbtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SR0NU5wYP63R1T7Innoy53dS0Fec7wUuNy1YFXyqSerE%3D
45,GORKHALAND TERRITORIAL ADMINISTRATION,https://wbtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SeWQXsXz7bz4NsSwQIDDOZ9S0Fec7wUuNy1YFXyqSerE%3D
46,HALDIA DEVELOPMENT AUTHORITY,https://wbtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SC7VEasBb%2F7MRrJ6xK9sFyNS0Fec7wUuNy1YFXyqSerE%3D
47,HEALTH AND FAMILY WELFARE DEPARTMENT,https://wbtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=Su9G242qi19lhe8jrpteMag%3D%3D
48,HIGH COURT CALCUTTA,https://wbtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=Sw696RLqcl5ygb%2B2c7%2Frh6tS0Fec7wUuNy1YFXyqSerE%3D
49,HOOGHLY RIVER BRIDGE COMMISSIONERS,https://wbtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=S5HMZsbeaXJqzFp1XU4NftQ%3D%3D
50,HOUSING DIRECTORATE,https://wbtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SFr5xBaZyDrpp1geSRbv8Dg%3D%3D
51,HOWRAH POLICE COMMISSIONERATE,https://wbtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SZTqV1D%2FvPYKogvrwHrNGn9S0Fec7wUuNy1YFXyqSerE%3D
