Sr.No.,ORGANIZATION NAME,LINK
1,Animal Husbandry and Veterinary Department,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SdLt4JFvssNy2rEMNH997Rw%3D%3D
2,Assam Agricultural University,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=S5WiUAtAO7hTohccmis%2F8zNS0Fec7wUuNy1YFXyqSerE%3D
3,Assam Electricity Grid Corporation Ltd,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SWDmvbQUSz6sCebXEku72MA%3D%3D
4,Assam Electricity Grid Corporation Ltd. - Externally Funded Projects,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SsCcxQDT6Y8bwKIbPKlpa7NS0Fec7wUuNy1YFXyqSerE%3D
5,Assam Home Guards and Civil Defence Organization,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SiegzoEnTJI5MwYoojnbI5w%3D%3D
6,Assam Police Housing Corporation Ltd,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SkzhmvtV0s6%2BK1fjGtzn0vQ%3D%3D
7,Assam Power Distribution Company Ltd,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SwJvjxsPoW%2F5cGKJmvb1e1w%3D%3D
8,Assam Power Generation Company Limited,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SPlatpmyLLXrabRDSB3Mvxg%3D%3D
9,Assam State Transport Corporation,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SjDK8acTowXeRTtkAtcHmbg%3D%3D
10,Bodoland Territorial Council,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SPj1fp4UyfZSNWcUiqPusHw%3D%3D
11,Bodoland Territorial Council-PWD,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SZl5tMtOqbiAyrV7iCYHT0g%3D%3D
12,Cooperation Department,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SY72APCBUf3OzE3RemNdu5w%3D%3D
13,Department of Handloom Textile and Sericulture,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=Sl20tHcROYLu%2BkL1B2ZoORA%3D%3D
14,Department of Tourism,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SDRJrn9Uk4%2BNbVN5Z%2B22JUA%3D%3D
15,Department of Water Resources,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SVgTzR1yl%2BXqa4xOIVccX5g%3D%3D
16,Directorate of Agriculture and Assam Seed Corporation,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SkGgnVv8TVOxLEj6HmQRJAQ%3D%3D
17,Elementary Education Department,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=StGtKDMutoxF%2BRQk5WhtYiA%3D%3D
18,Finance Department - World Bank Tenders,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SdSULsYN6UIcJpRc2ANugEA%3D%3D
19,Food Civil Supplies and Consumer Affairs Department,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SuXkV4gSkm%2BuS37xDRCWcjQ%3D%3D
20,Gauhati University,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=Snni57Ja6%2FTHhSh%2FBNZkJ9g%3D%3D
21,General Administration Department,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SH0%2Bx%2FqbXdh7Oq5oRlD3VHw%3D%3D
22,Guwahati Metropolitan Development Authority,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SoF6FjpQuIeRKmQtPduGlRQ%3D%3D
23,Guwahati Municipal Corporation,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SCxMj5K%2BNkTZb3Zv7UstPnA%3D%3D
24,Health and Family Welfare Department,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SsUAEZn2%2B4xbOLHKRycwwxw%3D%3D
25,Home B,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SJsCckZR%2BbE14N9fpk6Vibg%3D%3D
26,Indigenous and Tribal Faith and Culture Department,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=S2BlhwkmmkWBmXPve5DIMzNS0Fec7wUuNy1YFXyqSerE%3D
27,Industries and Commerce Department,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=S7P6k2QWUihQNKXNS3x0y3g%3D%3D
