Sr.No.,ORGANIZATION NAME,LINK
1,CORPORATION OF THE CITY OF PANAJI,https://eprocure.goa.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SkzhmvtV0s6%2BK1fjGtzn0vQ%3D%3D
2,DEPARTMENT OF ANIMAL HUSBANDRY AND VETERINARY SERVICES,https://eprocure.goa.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SDRJrn9Uk4%2BNbVN5Z%2B22JUA%3D%3D
3,DEPARTMENT OF INFORMATION TECHNOLOGY ELECTRONICS AND COMMUNICATIONS,https://eprocure.goa.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=S4fOW%2By4lfko37f6uDHrBBw%3D%3D
4,Department of Rural Development,https://eprocure.goa.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=StGtKDMutoxF%2BRQk5WhtYiA%3D%3D
5,DEPARTMENT OF TOURISM,https://eprocure.goa.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=Sp8kbpWL9AOYjOXdZLA%2BMYw%3D%3D
6,DIRECTORATE OF EDUCATION,https://eprocure.goa.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SMCKSvs%2Bm%2Bl8yXe1sdiqGGA%3D%3D
7,Directorate Of Health Services,https://eprocure.goa.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=Sz%2BXWHNXnO%2BHayV9nikg1oQ%3D%3D
8,ELECTRICITY DEPARTMENT,https://eprocure.goa.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SAUg29c9IU03A%2F5oq6LBN2A%3D%3D
9,GENERAL ADMINISTRATION DEPARTMENT(SECRETARIAT),https://eprocure.goa.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SNJ%2BgDUHWvqX%2Brw8Zo30aQw%3D%3D
10,GOA ENERGY DEVELOPMENT AGENCY,https://eprocure.goa.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SwAKACLfwnRCRPL0A1nr%2B%2Bw%3D%3D
11,Goa Housing Board,https://eprocure.goa.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SR2ASkyJhj3juBKJGM0aUtA%3D%3D
12,Goa Industrial Development Corporation,https://eprocure.goa.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SM%2Fbr9ae%2FkkS4nUTpzjfVAQ%3D%3D
13,Goa State Pollution Control Board,https://eprocure.goa.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SQwS1ZHMBHOToDzkLBeDF%2FQ%3D%3D
14,Goa Tourism Development Corporation Limited,https://eprocure.goa.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SZl5tMtOqbiAyrV7iCYHT0g%3D%3D
15,GOA UNIVERSITY,https://eprocure.goa.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=Sq9lyBDbNRh8YGDoT5i49Pg%3D%3D
16,Kadamba Transport Corporation Ltd.,https://eprocure.goa.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=S4s7HwpeLeRl65QW%2BfBSi8g%3D%3D
17,MUNICIPAL COUNCILS,https://eprocure.goa.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SYe4m3NrWqJk%2BzEHVbe%2FBYw%3D%3D
18,PUBLIC WORKS DEPARTMENT,https://eprocure.goa.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=Sah2zYAQ5M9H4B0r42Ywf6w%3D%3D
19,River Navigation Department,https://eprocure.goa.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SrpA2GXqCvlOH1dstDS3Idw%3D%3D
20,SEWERAGE AND INFRASTRUCTURAL DEVELOPMENT CORPORATION OF GOA LTD,https://eprocure.goa.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=Sl20tHcROYLu%2BkL1B2ZoORA%3D%3D
21,THE SPORTS AUTHORITY OF GOA,https://eprocure.goa.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SFr5xBaZyDrpp1geSRbv8Dg%3D%3D
22,VILLAGE PANCHAYATS,https://eprocure.goa.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=S%2Bt7ylexecXeEINPR4PWtnw%3D%3D
23,WATER RESOURCE DEPARTMENT,https://eprocure.goa.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SX%2FB7iPqLtlwRMXTHkbwNyQ%3D%3D
24,ZILLA PANCHAYATS,https://eprocure.goa.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SuXkV4gSkm%2BuS37xDRCWcjQ%3D%3D
