Sr.No.,ORGANIZATION NAME,LINK
1,Bus Stands Management and Development Authority,https://hptenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SSrJAswtAP6cZSazMEKxlyg%3D%3D
2,CE -cum- Project Director- HPRIDC,https://hptenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=Sah2zYAQ5M9H4B0r42Ywf6w%3D%3D
3,Chief Project Director IDP Solan,https://hptenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=Sd6LB7EruLLs4Lcyx4OV3I9S0Fec7wUuNy1YFXyqSerE%3D
4,Department of Health and Family Welfare,https://hptenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SMCKSvs%2Bm%2Bl8yXe1sdiqGGA%3D%3D
5,Department of MPP and Power Govt of Himachal Pradesh,https://hptenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SkP9YKJiX0yaSrAFRfcQi6A%3D%3D
6,DHARAMSHALA SMART CITY LIMITED,https://hptenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=S1T28VXRsrzltvEIgKEV4mg%3D%3D
7,Directorate Animal Husbandry,https://hptenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SXM%2FYCEphTGb9h5IHaViEmNS0Fec7wUuNy1YFXyqSerE%3D
8,Directorate of  Food Civil Supplies and Consumer Affairs,https://hptenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=Sic2bXDw6AyN5LYcRf4IjytS0Fec7wUuNy1YFXyqSerE%3D
9,Directorate of Medical Education and Research,https://hptenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=Sqt0%2FzhWfKSDHQtnl6gJ4Hw%3D%3D
10,Directorate of Technical Education,https://hptenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=S0q7BSURV1TyGhrvvCFNKv9S0Fec7wUuNy1YFXyqSerE%3D
11,Directorate of Urban Development,https://hptenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=S7P6k2QWUihQNKXNS3x0y3g%3D%3D
12,Director-Cum-Warden of Fisheries,https://hptenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SAUg29c9IU03A%2F5oq6LBN2A%3D%3D
13,Dr. Yashwant Singh Parmar University of Horticulture and Forestry,https://hptenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=S4s7HwpeLeRl65QW%2BfBSi8g%3D%3D
14,Himachal Pradesh Agriculture Development Society (JICA-ODA loan),https://hptenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=ScUt5ocHB38Nhwfnjddz8AQ%3D%3D
15,Himachal Pradesh Forest Department,https://hptenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SwJvhHQ5qtWFNbxLBbm6wfg%3D%3D
16,Himachal Pradesh School Education Society,https://hptenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SCxMj5K%2BNkTZb3Zv7UstPnA%3D%3D
17,Himachal Pradesh Tourism Development Corporation,https://hptenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=S0M0TFR1QClEu78yQMEkFoA%3D%3D
18,Himachal Urban Development Authority,https://hptenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SwJvjxsPoW%2F5cGKJmvb1e1w%3D%3D
19,HP Agro Industries Corporation Ltd,https://hptenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SKf%2FgtQ%2BMGfI0uYjWCCutwdS0Fec7wUuNy1YFXyqSerE%3D
20,HP Aquaculture Fisheries and Marketing Society,https://hptenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=Sq9lyBDbNRh8YGDoT5i49Pg%3D%3D
21,HP Horticultural Produce Marketing and Processing Corporation Ltd.,https://hptenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=Sz%2BXWHNXnO%2BHayV9nikg1oQ%3D%3D
22,HP-HRTC-Manging Director,https://hptenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SX%2FB7iPqLtlwRMXTHkbwNyQ%3D%3D
23,HP Irrigation and Public Health,https://hptenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=So2%2B9tAgdUu57%2FfjN7BQj4A%3D%3D
24,HPSEBL,https://hptenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=Su%2Bzb384sa%2FwA6xudXbBwXNS0Fec7wUuNy1YFXyqSerE%3D
25,HP State Civil Supplies Corporation Limited,https://hptenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SGTcD%2BRUO7BhBfui0B%2FOiww%3D%3D
26,H.P. State Electronics Development Corp. Ltd,https://hptenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=S%2Bt7ylexecXeEINPR4PWtnw%3D%3D
27,HP State Forest Development Corporation,https://hptenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SVgTzR1yl%2BXqa4xOIVccX5g%3D%3D
28,Municipal Corporation Shimla,https://hptenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SFr5xBaZyDrpp1geSRbv8Dg%3D%3D
29,PWD,https://hptenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SpUU0rj42FI3UoCfR2Ztdaw%3D%3D
30,Ropeway and Rapid Transport System Development  Corporation,https://hptenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SXCKz8u3pn97sUopD0NnghNS0Fec7wUuNy1YFXyqSerE%3D
31,The Kangra Central Cooperative Bank Ltd (KCCB),https://hptenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SoxhfC2hi0ii%2FdjJpe1icvNS0Fec7wUuNy1YFXyqSerE%3D
32,Wool Fedration,https://hptenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=S2Vt2xpCcTsrcfkr9yktxtw%3D%3D
