Sr.No.,ORGANIZATION NAME,LINK
1,Agency for Development of Aquaculture Kerala,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=Sp2LOVRS0iAS4DA3hSjn5V9S0Fec7wUuNy1YFXyqSerE%3D
2,ANERT,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SBtccLrpQa%2FTS5ZWVXHvHFNS0Fec7wUuNy1YFXyqSerE%3D
3,Autocast Ltd,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SlSWDFjp48I0HvjstGkSyOA%3D%3D
4,C - DIT,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SNagVMX%2FNVa2tJf%2B7THDLZ9S0Fec7wUuNy1YFXyqSerE%3D
5,Cochin International Airport Ltd,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SlvOG0NcnGFwyg%2BjpfnBAtdS0Fec7wUuNy1YFXyqSerE%3D
6,Cochin University of Science and Technology,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SJTr4kCzDFrd4IzdJd1imyNS0Fec7wUuNy1YFXyqSerE%3D
7,Department of Agriculture,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SvZo3Zjg8efNcrnkPhEQ4Fw%3D%3D
8,Department of Tourism,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SPv9ocG08bS43U4itO7HIntS0Fec7wUuNy1YFXyqSerE%3D
9,Directorate of Ayurveda Medical Education,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SJQ2KYGoH5PYys2amFj77pdS0Fec7wUuNy1YFXyqSerE%3D
10,Directorate of General Education,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SeFFaT81Lyco33%2FjEVi0Zy9S0Fec7wUuNy1YFXyqSerE%3D
11,Directorate of Health Services,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SKf%2FgtQ%2BMGfI0uYjWCCutwdS0Fec7wUuNy1YFXyqSerE%3D
12,Directorate of Homoeopathy,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SwltxQKg7nlun3e%2Bcx3fBKtS0Fec7wUuNy1YFXyqSerE%3D
13,Directorate of Medical Education,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SwwNwnkHC63IAe8zJ%2BO%2BKNtS0Fec7wUuNy1YFXyqSerE%3D
14,Directorate of Museums and Zoos,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=S3U1ywBSC99b0441do0oP7NS0Fec7wUuNy1YFXyqSerE%3D
15,Directorate of Panchayat,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SoxhfC2hi0ii%2FdjJpe1icvNS0Fec7wUuNy1YFXyqSerE%3D
16,Directorate of Public Instructions,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=Sg1BsdrfnPtx3iFjov2PBV9S0Fec7wUuNy1YFXyqSerE%3D
17,Directorate of SC Development,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SJa4Ru2G8JZoRRYfmzk90CA%3D%3D
18,Directorate of Technical Education,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=Sy4pFXjq8NMXlZQVwea8r6g%3D%3D
19,Directorate of Urban Affairs,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=S5W1jtAnLrjBxA4n%2FS9T5GtS0Fec7wUuNy1YFXyqSerE%3D
20,District Nirmithikendra Ernakulam,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=S5qfmKvOSIxaGQ0mCj0qCXdS0Fec7wUuNy1YFXyqSerE%3D
21,District Nirmithikendra Pathanamthitta,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=Sgu0eIReUr3gUABkvkJ6pgNS0Fec7wUuNy1YFXyqSerE%3D
22,Electronics Technology Park Kerala(technopark),https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=S7r6eihtC3Z4C9vEoeqHfsQ%3D%3D
23,Energy Management Centre,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=S0g8N%2FzBGK2IUXzIfka6LnQ%3D%3D
24,Forest Department,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SkGgnVv8TVOxLEj6HmQRJAQ%3D%3D
25,Forest Industries (Travancore) Ltd,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=StGtKDMutoxF%2BRQk5WhtYiA%3D%3D
26,Greater Cochin Development Authority,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SY%2BAswRAf4x4VyxpySYmDstS0Fec7wUuNy1YFXyqSerE%3D
27,Ground Water Department,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SSxP9uaWqx7bzT7SeGuxOCtS0Fec7wUuNy1YFXyqSerE%3D
28,Harbour Engineering Department,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=S2AELrffvWnSB6unk0d3Gxg%3D%3D
29,Higher Education Department,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SnPFmQ65MU3r48VZRW8be59S0Fec7wUuNy1YFXyqSerE%3D
30,High Power Committee for the Implementation of Sabarimala Master Plan,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SGwtQJVOzd7vZEiW7IkP50dS0Fec7wUuNy1YFXyqSerE%3D
