Sr.No.,ORGANIZATION NAME,LINK
1,Atal Indore City Transport Services Ltd - Indore,https://mptenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SvZo3Zjg8efNcrnkPhEQ4Fw%3D%3D
2,Awadhesh Pratap Singh University - Rewa,https://mptenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=Ssp1GPf2AXEQ7F%2FjpIgN7%2BdS0Fec7wUuNy1YFXyqSerE%3D
3,Bhopal City Link Limited,https://mptenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SPj1fp4UyfZSNWcUiqPusHw%3D%3D
4,Board of Secondary Education,https://mptenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=Sl20tHcROYLu%2BkL1B2ZoORA%3D%3D
5,Capital Project Administration,https://mptenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SiCLqqpe69bIF5g4RXDuKhw%3D%3D
6,Chhindwara University - Chhindwara,https://mptenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SDtZCMeaVu9bqhGdLOf19ntS0Fec7wUuNy1YFXyqSerE%3D
7,Department of Higher Education,https://mptenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SCywdk1FJJR%2Bf8aupTpAPc9S0Fec7wUuNy1YFXyqSerE%3D
8,Directorate of Animal Husbandry,https://mptenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=Sqt0%2FzhWfKSDHQtnl6gJ4Hw%3D%3D
9,Directorate of Aviation,https://mptenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=S2AELrffvWnSB6unk0d3Gxg%3D%3D
10,Directorate of Food Civil Supplies and Consumer Protection,https://mptenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SPdsN5TWAapRHtjN5lHWmLNS0Fec7wUuNy1YFXyqSerE%3D
11,Directorate of Geology and Mining,https://mptenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SwJvjxsPoW%2F5cGKJmvb1e1w%3D%3D
12,Directorate of Health Services,https://mptenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SWI9vAuBPXiUe1dYbdf94ftS0Fec7wUuNy1YFXyqSerE%3D
13,Directorate of Industries,https://mptenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SKrLzseqn8LJsJQFuBkUlqdS0Fec7wUuNy1YFXyqSerE%3D
14,Directorate of Medical Education,https://mptenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SUAznQ9mBhx5GCYHtFRRm8g%3D%3D
