Sr.No.,ORGANIZATION NAME,LINK
1,Bhubaneswar Development Authority,https://tendersodisha.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=S8JH53KqhP8qc%2BLoXjGrHaQ%3D%3D
2,Bhubaneswar Smart City Limited,https://tendersodisha.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=S1T28VXRsrzltvEIgKEV4mg%3D%3D
3,"CCE,Anandapur Barrage Project",https://tendersodisha.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SSrJAswtAP6cZSazMEKxlyg%3D%3D
4,CCE Upper Indravati Irrigation Project Mukhiguda,https://tendersodisha.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SRebWmmzKEyWMEGexNc4mntS0Fec7wUuNy1YFXyqSerE%3D
5,CE and BM Brahmani Basin Samal,https://tendersodisha.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SPT7JL0%2BUP9XhsFLZ371BfNS0Fec7wUuNy1YFXyqSerE%3D
6,CE AND BM MBBS CHANDIKOLE,https://tendersodisha.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SMu%2FbIfQNCrx0RmDP9rLvk9S0Fec7wUuNy1YFXyqSerE%3D
7,"CE-BM,B Right Basin,Dhenkanal",https://tendersodisha.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SX%2FB7iPqLtlwRMXTHkbwNyQ%3D%3D
8,"CE-BM,BSB Basin,Laxmiposi",https://tendersodisha.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=Sq9lyBDbNRh8YGDoT5i49Pg%3D%3D
9,"CE-BM,LMB Basin,BBSR",https://tendersodisha.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=S4s7HwpeLeRl65QW%2BfBSi8g%3D%3D
10,"CE-BM,RVN Basin,Berhampur",https://tendersodisha.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SwJvjxsPoW%2F5cGKJmvb1e1w%3D%3D
11,"CE-BM, Tel Basin,Bhawanipatna",https://tendersodisha.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SOOAIHfjN5oDdLxWh0fzY7g%3D%3D
12,"CE-BM,UM Basin,Burla",https://tendersodisha.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=Sah2zYAQ5M9H4B0r42Ywf6w%3D%3D
13,CE Megalift Projects Bhubaneswar,https://tendersodisha.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SdLt4JFvssNy2rEMNH997Rw%3D%3D
14,"CE,Minor Irrigation,BBSR",https://tendersodisha.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=S4fOW%2By4lfko37f6uDHrBBw%3D%3D
15,CE-NH,https://tendersodisha.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=Sqfblx59yAoI1GX2pEwmyXg%3D%3D
16,CE RW I,https://tendersodisha.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SHXzAeTkot7P4JDf%2FRD8GIA%3D%3D
17,Chief Engineer Mech - WR Bhubaneswar,https://tendersodisha.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SkGgnVv8TVOxLEj6HmQRJAQ%3D%3D
18,Cuttack Development Authority,https://tendersodisha.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SR4p3TYrFMbIBoHsxJBkRZQ%3D%3D
19,DG Odisha Police Cuttack,https://tendersodisha.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SH66uESK9sTKcMWmINodXENS0Fec7wUuNy1YFXyqSerE%3D
20,Directorate of Agriculture and Food Production,https://tendersodisha.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SsUAEZn2%2B4xbOLHKRycwwxw%3D%3D
21,Directorate of Ports and IWT,https://tendersodisha.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SR2ASkyJhj3juBKJGM0aUtA%3D%3D
22,EIC-CIVIL,https://tendersodisha.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SoF6FjpQuIeRKmQtPduGlRQ%3D%3D
23,Ground Water Survey and Investigation,https://tendersodisha.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SLZosoASXwPlnwcG3wtgLTw%3D%3D
24,Housing and Urban Development Department,https://tendersodisha.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=STaqNZy7Dlb8FqU%2B1X4w1v9S0Fec7wUuNy1YFXyqSerE%3D
25,IDCO,https://tendersodisha.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SFr5xBaZyDrpp1geSRbv8Dg%3D%3D
26,Municipal Bodies,https://tendersodisha.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SrpA2GXqCvlOH1dstDS3Idw%3D%3D
27,Odisha Agro Industries Corporation Ltd.,https://tendersodisha.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=Sd6LB7EruLLs4Lcyx4OV3I9S0Fec7wUuNy1YFXyqSerE%3D
28,ODISHA CONSTRUCTION CORPORATION LTD,https://tendersodisha.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SMsp2Aw2iSf23Xok389TBqg%3D%3D
29,Odisha Hydro Power Corporation Ltd,https://tendersodisha.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SYe4m3NrWqJk%2BzEHVbe%2FBYw%3D%3D
30,Odisha Mineral Exploration Corporation Limited,https://tendersodisha.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SSa%2F6yMO%2B1LV%2Beulo7nz2jtS0Fec7wUuNy1YFXyqSerE%3D
31,Odisha State Agricultural Marketing Board,https://tendersodisha.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SnGKBGZPC0YWw0b2oBPGIdg%3D%3D
