Sr.No.,ORGANIZATION NAME,LINK
1,Bhakra Beas Management Board,https://eproc.punjab.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=S15523QCITKER7cc5ADqfZtS0Fec7wUuNy1YFXyqSerE%3D
2,CE-PWD(B and R),https://eproc.punjab.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=S4fOW%2By4lfko37f6uDHrBBw%3D%3D
3,Department of Agriculture,https://eproc.punjab.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SFr5xBaZyDrpp1geSRbv8Dg%3D%3D
4,Department of Animal Husbandry,https://eproc.punjab.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SZl5tMtOqbiAyrV7iCYHT0g%3D%3D
5,Department of Cooperation,https://eproc.punjab.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=ScUt5ocHB38Nhwfnjddz8AQ%3D%3D
6,Department of Food Civil Supplies and Consumer Affairs,https://eproc.punjab.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SM%2Fbr9ae%2FkkS4nUTpzjfVAQ%3D%3D
7,Department of Forests and Wildlife Preservation,https://eproc.punjab.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SrpA2GXqCvlOH1dstDS3Idw%3D%3D
8,Department of Health and Family Welfare,https://eproc.punjab.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=S9nWAOBAD2MB2mhgCDg9jAQ%3D%3D
9,Department of Higher Education,https://eproc.punjab.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SkGgnVv8TVOxLEj6HmQRJAQ%3D%3D
10,Department of Home Affairs,https://eproc.punjab.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SkLREfAFDUkHt1MJn9udxsQ%3D%3D
11,Department of Housing and Urban Development,https://eproc.punjab.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SsUAEZn2%2B4xbOLHKRycwwxw%3D%3D
12,Department of Industries and Commerce,https://eproc.punjab.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SSrJAswtAP6cZSazMEKxlyg%3D%3D
13,Department of Information and Public Relations,https://eproc.punjab.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=S3%2B7jRA5ZsktDdnsLwR9zSg%3D%3D
