Sr.No.,ORGANIZATION NAME,LINK
1,Agriculture Deptt - Commissioner,https://eproc.rajasthan.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SVpqWCsLPyf93ARE8ncxNLw%3D%3D
2,AGRICULTURE UNIVERSITY- JODHPUR,https://eproc.rajasthan.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SR%2BRE53yGeWVzukwxNJg%2BgdS0Fec7wUuNy1YFXyqSerE%3D
3,AJMER DEVELOPMENT AUTHORITY,https://eproc.rajasthan.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SyBxVP%2BlbtzlCMvlOwBGax9S0Fec7wUuNy1YFXyqSerE%3D
4,Ajmer VVNL - MD,https://eproc.rajasthan.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SdLt4JFvssNy2rEMNH997Rw%3D%3D
5,BHIWADI INTEGRATED DEVELOPMENT AUTHORITY,https://eproc.rajasthan.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=Sgu0eIReUr3gUABkvkJ6pgNS0Fec7wUuNy1YFXyqSerE%3D
6,BIKANER TECHNICAL UNIVERSITY,https://eproc.rajasthan.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SbcnOMFPPJtSyFIsFzB%2BsotS0Fec7wUuNy1YFXyqSerE%3D
7,Board Of Secondary Education Rajasthan- Ajmer,https://eproc.rajasthan.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SAjQgOwh%2FHIrIBESt0UbU19S0Fec7wUuNy1YFXyqSerE%3D
8,"CAD CHAMBAL, KOTA",https://eproc.rajasthan.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SY72APCBUf3OzE3RemNdu5w%3D%3D
9,CE - CAD IGNP Bikaner,https://eproc.rajasthan.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SJa4Ru2G8JZoRRYfmzk90CA%3D%3D
10,Department of  IT and C,https://eproc.rajasthan.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=StGtKDMutoxF%2BRQk5WhtYiA%3D%3D
11,DEPARTMENT OF MINORITY AFFAIRS,https://eproc.rajasthan.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SE%2Bt2OCJwLlS1MoQJ%2FmqZj9S0Fec7wUuNy1YFXyqSerE%3D
12,Deptt. of Archaeology and Museums,https://eproc.rajasthan.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=S0q7BSURV1TyGhrvvCFNKv9S0Fec7wUuNy1YFXyqSerE%3D
13,Deptt. of Watershed Dev. and Soil Conservation,https://eproc.rajasthan.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SuDy0AvOvz0K8nJXpCQmSudS0Fec7wUuNy1YFXyqSerE%3D
14,Directorate of Agriculture Marketing-Jaipur,https://eproc.rajasthan.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SC7VEasBb%2F7MRrJ6xK9sFyNS0Fec7wUuNy1YFXyqSerE%3D
15,DLB,https://eproc.rajasthan.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=S6y2nxiLbuF3LZIzUYVZ6sQ%3D%3D
16,DR. BHIMRAO AMBEDKAR LAW UNIVERSITY- JAIPUR,https://eproc.rajasthan.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SBG8FcYz30L9M%2FY9Ba63pFdS0Fec7wUuNy1YFXyqSerE%3D
17,"Dr. S.N.Medical College, Jodhpur",https://eproc.rajasthan.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=S4aARRK3mq9yUTP0gEwS4CA%3D%3D
18,Eastern Rajasthan Canal Project Corporation Limited,https://eproc.rajasthan.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SGd2ju97sFfxRatbZadHyutS0Fec7wUuNy1YFXyqSerE%3D
19,Election Department,https://eproc.rajasthan.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SkLREfAFDUkHt1MJn9udxsQ%3D%3D
20,ELEMENTARY EDUCATION,https://eproc.rajasthan.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=Ss1z3ChPJxHiBAe7nD2G5jNS0Fec7wUuNy1YFXyqSerE%3D
21,Excise Department,https://eproc.rajasthan.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SY%2BAswRAf4x4VyxpySYmDstS0Fec7wUuNy1YFXyqSerE%3D
22,Forest - PCCF (HoFF),https://eproc.rajasthan.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=S2AELrffvWnSB6unk0d3Gxg%3D%3D
23,General Administrative Department (GAD),https://eproc.rajasthan.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SWCYgOQ6%2BoWJgcrqIT%2B3UJ9S0Fec7wUuNy1YFXyqSerE%3D
24,"Govt. Medical College, Kota",https://eproc.rajasthan.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SabS26NOZKSuM4YZUo4iE7A%3D%3D
25,Ground Water Department,https://eproc.rajasthan.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SMbsC0LnIa3XWtn8aOnoGZ9S0Fec7wUuNy1YFXyqSerE%3D
26,IGNP,https://eproc.rajasthan.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SnE1WC8WNbHa4TPbnQEfgEg%3D%3D
27,INDUSTRIES DEPARTMENT,https://eproc.rajasthan.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SRYL6%2FjLBd6c5XRCnIzNIA9S0Fec7wUuNy1YFXyqSerE%3D
28,JAI NARAIN VYAS UNIVERSITY-JODHPUR,https://eproc.rajasthan.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SOhaOMnSJAYa4ArYbATGy%2FdS0Fec7wUuNy1YFXyqSerE%3D
29,Jaipur Development Authority,https://eproc.rajasthan.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SrpA2GXqCvlOH1dstDS3Idw%3D%3D
30,Jaipur Metro Rail Corporation Ltd.,https://eproc.rajasthan.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=Sc%2FSF9cWRvZ0lYvYSV6hYVtS0Fec7wUuNy1YFXyqSerE%3D
31,Jaipur Zila Dugdh Utpadak Sahakari Sangh Ltd.,https://eproc.rajasthan.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=S2Vt2xpCcTsrcfkr9yktxtw%3D%3D
32,Jhalawar Medical College and SRG Hospital,https://eproc.rajasthan.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SRebWmmzKEyWMEGexNc4mntS0Fec7wUuNy1YFXyqSerE%3D
33,Jodhpur Development Authority,https://eproc.rajasthan.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SkzhmvtV0s6%2BK1fjGtzn0vQ%3D%3D
34,Jodhpur VVNL - MD,https://eproc.rajasthan.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SLZosoASXwPlnwcG3wtgLTw%3D%3D
35,JVVNL - CMD,https://eproc.rajasthan.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SJBx4csdNOqdrTlYCXOYWmg%3D%3D
36,"MD, RISL",https://eproc.rajasthan.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=ScUt5ocHB38Nhwfnjddz8AQ%3D%3D
37,Medical and Health,https://eproc.rajasthan.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=S5HMZsbeaXJqzFp1XU4NftQ%3D%3D
38,"Mohan Lal Sukhadia University, Udaipur",https://eproc.rajasthan.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SBtccLrpQa%2FTS5ZWVXHvHFNS0Fec7wUuNy1YFXyqSerE%3D
