Sr.No.,ORGANIZATION NAME,LINK
1,Anna University Chennai,https://tntenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SN4yw4tg0yrUN3vdqFegVGQ%3D%3D
2,Chennai Metropolitan Development Authority,https://tntenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SrdfTiBmsq3K2VivsykDKEtS0Fec7wUuNy1YFXyqSerE%3D
3,Chennai Unified Metropolitan Transport Authority,https://tntenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SoVS5sfO4uqKd00y3intK8NS0Fec7wUuNy1YFXyqSerE%3D
4,CMWSS Board,https://tntenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=So2%2B9tAgdUu57%2FfjN7BQj4A%3D%3D
5,Corporation of Chennai,https://tntenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=S9nWAOBAD2MB2mhgCDg9jAQ%3D%3D
6,Department of Information Technology,https://tntenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SYe4m3NrWqJk%2BzEHVbe%2FBYw%3D%3D
7,Department of Sugar,https://tntenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SkLREfAFDUkHt1MJn9udxsQ%3D%3D
8,Directorate of Technical Education,https://tntenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SUAznQ9mBhx5GCYHtFRRm8g%3D%3D
9,Directorate of Town Panchayats,https://tntenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=StGtKDMutoxF%2BRQk5WhtYiA%3D%3D
10,ELCOT,https://tntenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=Ssp1GPf2AXEQ7F%2FjpIgN7%2BdS0Fec7wUuNy1YFXyqSerE%3D
11,Fisheries and Fishermen Welfare Department,https://tntenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=S0M0TFR1QClEu78yQMEkFoA%3D%3D
12,Greater Chennai Corporation - ADB Tenders,https://tntenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=Sa48BA3Ekn4AQ5Vx857v5gtS0Fec7wUuNy1YFXyqSerE%3D
13,Highways,https://tntenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=Sqfblx59yAoI1GX2pEwmyXg%3D%3D
14,MAWS,https://tntenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=Sah2zYAQ5M9H4B0r42Ywf6w%3D%3D
15,Micro Small and Medium Enterprises,https://tntenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SwAKACLfwnRCRPL0A1nr%2B%2Bw%3D%3D
16,Minor Ports,https://tntenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=Sp2LOVRS0iAS4DA3hSjn5V9S0Fec7wUuNy1YFXyqSerE%3D
17,Police Department,https://tntenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SoF6FjpQuIeRKmQtPduGlRQ%3D%3D
18,PWD,https://tntenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SpUU0rj42FI3UoCfR2Ztdaw%3D%3D
19,"SE- (RD),TN",https://tntenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=S%2Bt7ylexecXeEINPR4PWtnw%3D%3D
20,Sports Development Authority Of TamilNadu,https://tntenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SD4eVpfGY6bN65KR2z7IzV9S0Fec7wUuNy1YFXyqSerE%3D
21,State Industries Promotion Corporation Of TamilNadu,https://tntenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SzfgzsWhxP%2Ba8K6Q3%2BWNwMtS0Fec7wUuNy1YFXyqSerE%3D
22,Tamil Nadu Civil Supplies Corporation,https://tntenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SOkCSwllMr6hdCNHMB0UMm9S0Fec7wUuNy1YFXyqSerE%3D
23,Tamilnadu Co-op Milk Producers Federation Ltd.,https://tntenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=S4s7HwpeLeRl65QW%2BfBSi8g%3D%3D
24,Tamil Nadu Industrial Development Corporation Ltd,https://tntenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SNagVMX%2FNVa2tJf%2B7THDLZ9S0Fec7wUuNy1YFXyqSerE%3D
25,Tamilnadu Medical Services Corporation,https://tntenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SwJvjxsPoW%2F5cGKJmvb1e1w%3D%3D
26,Tamil Nadu Minerals Limited,https://tntenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SSg6gyYygKK%2BXPNnaZf%2FaXQ%3D%3D
27,Tamilnadu Newsprint and Papers Limited,https://tntenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SSa%2F6yMO%2B1LV%2Beulo7nz2jtS0Fec7wUuNy1YFXyqSerE%3D
28,Tamil Nadu Police Housing Corporation,https://tntenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SDRJrn9Uk4%2BNbVN5Z%2B22JUA%3D%3D
29,TamilNadu Road Development Company Limited(TNRDC),https://tntenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SN38h%2FOV3i5razLVK8iV%2FbtS0Fec7wUuNy1YFXyqSerE%3D
30,Tamil Nadu Road Infrastructure Development Corporation (TNRIDC) - World Bank / MDB Tenders,https://tntenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=S3U1ywBSC99b0441do0oP7NS0Fec7wUuNy1YFXyqSerE%3D
31,Tamil Nadu Small Industries Development Corporation Limited,https://tntenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SPv9ocG08bS43U4itO7HIntS0Fec7wUuNy1YFXyqSerE%3D
32,Tamilnadu State Transport Corporation,https://tntenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=S2BlhwkmmkWBmXPve5DIMzNS0Fec7wUuNy1YFXyqSerE%3D
