Sr.No.,ORGANIZATION NAME,LINK
1,Agra Development Authority,https://etender.up.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SHZMiutCUmeE1EJ7Qxs%2Fx0dS0Fec7wUuNy1YFXyqSerE%3D
2,Allahabad Development Authority,https://etender.up.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=S1T28VXRsrzltvEIgKEV4mg%3D%3D
3,Allahabad Municipal Corporation,https://etender.up.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SCxMj5K%2BNkTZb3Zv7UstPnA%3D%3D
4,Allahabad State University Allahabad,https://etender.up.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=ShtPw3nUlrclOWZhIERKem9S0Fec7wUuNy1YFXyqSerE%3D
5,Animal Husbandry Directorate,https://etender.up.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SBtccLrpQa%2FTS5ZWVXHvHFNS0Fec7wUuNy1YFXyqSerE%3D
6,Ayodhya Faizabad Development Authority,https://etender.up.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SKvNtmv%2BZzJNPuXZ%2FkCwyjA%3D%3D
7,Bareilly Development Authority,https://etender.up.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SnE1WC8WNbHa4TPbnQEfgEg%3D%3D
8,Board of Revenue U P,https://etender.up.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=S0sPWUswbuirR1zvR7fAlXtS0Fec7wUuNy1YFXyqSerE%3D
9,Cheif Engineer Allahabad Zone PWD Allahabad,https://etender.up.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SLZosoASXwPlnwcG3wtgLTw%3D%3D
10,Cheif Engineer Bareilly Zone PWD Bareilly,https://etender.up.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SuXkV4gSkm%2BuS37xDRCWcjQ%3D%3D
