NAME,REF NO, OPENING DATE,CLOSING DATE,LINK
1. 3073/SUPPLY OF POWER AND CONTROL CARDS,3073/SUPPLY OF POWER AND CONTROL CARDS,04-12-2023 18:55,05-12-2023 11:15,https://etender.up.nic.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=StDiF8P100Hhb7pN4LCcguQ%3D%3D
2. Special Repair work of Katka Raman to Himmatpur Road V R in Distt Bareilly,9677 / 413C (E-Tender)-3/2023-24 Date 28.10.2023,08-12-2023 12:00,08-12-2023 12:30,https://etender.up.nic.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=SZxYnS5MR38FSkVdby22SLA%3D%3D
3. Special Repair work of Aliganj Sirauli Km 19 to Gurgawan Mustkil Road  V R  in Distt  Bareilly,9677 / 413C (E-Tender)-3/2023-24 Date 28.10.2023,08-12-2023 12:00,08-12-2023 12:30,https://etender.up.nic.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=S7w6uH98QGG1Iy5AQfNb6Yw%3D%3D
4. Special Repair work of Aonla Aliganj Gaini to Daruapur Road  V R  in Distt  Bareilly,9677 / 413C (E-Tender)-3/2023-24 Date 28.10.2023,08-12-2023 12:00,08-12-2023 12:30,https://etender.up.nic.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=SBzN5vJJWbvr0W92qqH39Yw%3D%3D
5. Special Repair work of Village Khalpur to Hirdaypur Road V R in Distt  Bareilly,9677 / 413C (E-Tender)-3/2023-24 Date 28.10.2023,08-12-2023 12:00,08-12-2023 12:30,https://etender.up.nic.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=Sso7%2BRqHtu%2BihKQvGINo1Fw%3D%3D
6. Special Repair work of Manauna to Guleli Link Road  V R  in Distt  Bareilly,9677 / 413C (E-Tender)-3/2023-24 Date 28.10.2023,08-12-2023 12:00,08-12-2023 12:30,https://etender.up.nic.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=STxnwCXZ3VWMcRdu46wNJUA%3D%3D
7. SR Of Patarahi Maudha road ,4834/SE Tender/jnp-gzp circle/23 date 02-11-2023 ,30-11-2023 12:00,30-11-2023 12:30,https://etender.up.nic.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=SoLZHVOI7gt7PsQ%2FxLbfbSA%3D%3D
8. Construction work of Protection Wall Pond at both side of road at Manauna Abadi Aonla Bisauli road Km 20 (VR) in Distt Bareilly,9677 / 413C (E-Tender)-3/2023-24 Date 28.10.2023,08-12-2023 12:00,08-12-2023 12:30,https://etender.up.nic.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=SOu5axZC0yEK%2Fa3WVteQXnA%3D%3D
9. Special Repair work of Newada Bilsandi to Dhandhraua Road V R  in Distt  Bareilly,9677 / 413C (E-Tender)-3/2023-24 Date 28.10.2023,08-12-2023 12:00,08-12-2023 12:30,https://etender.up.nic.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=SveJ80SQymsZI81kyIh4t2w%3D%3D
10. Special Repair work of Bhukhara Faridpur Road to Keeratpur Parewa Matiya Nagla (V.R.) in Distt. Bareilly,8982/ 413C (E-Tender)-3/2023-24DATE 07.10.2023,08-12-2023 12:30,08-12-2023 12:00,https://etender.up.nic.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=SdTZeAO1lBLFRB7dReizTXA%3D%3D
